#{"t_start": 1713718523.670062, "env_id": "ALE/Breakout-v5"}
r,l,t
7.0,434,1.656072
2.0,256,1.790935
2.0,266,1.965276
2.0,243,2.100964
1.0,195,2.205135
0.0,148,2.296474
1.0,210,2.410728
2.0,253,2.547747
2.0,276,2.703421
3.0,281,2.860372
2.0,240,2.993425
1.0,204,3.103637
4.0,346,3.290134
0.0,160,3.375265
2.0,232,3.494688
1.0,170,3.61193
1.0,222,3.729448
3.0,265,3.872812
3.0,286,4.024016
4.0,320,4.203904
2.0,259,4.343467
1.0,203,4.476183
1.0,204,4.618437
1.0,205,4.761202
2.0,238,4.910949
3.0,261,5.093269
1.0,220,5.254188
3.0,285,5.414593
3.0,278,5.60766
2.0,227,5.727674
0.0,158,5.8116
4.0,309,6.017963
2.0,223,6.143992
2.0,273,6.329592
0.0,181,6.427811
6.0,439,6.659223
4.0,283,6.809809
2.0,249,6.959975
1.0,201,7.095711
1.0,213,7.222764
4.0,312,7.390993
2.0,232,7.515843
5.0,349,7.74053
1.0,188,7.84703
0.0,179,7.979956
4.0,299,8.205516
1.0,218,8.379764
2.0,247,8.556998
3.0,253,8.719652
0.0,156,8.822144
2.0,261,9.036168
5.0,378,9.304219
0.0,174,9.401976
2.0,266,9.601321
1.0,198,9.745394
2.0,258,9.945666
5.0,359,10.195384
2.0,238,10.34909
6.0,445,10.678571
2.0,233,10.83352
2.0,234,10.992568
0.0,165,11.098533
2.0,239,11.25491
1.0,191,11.4176
6.0,423,11.703487
1.0,204,11.835849
1.0,203,11.955779
2.0,218,12.077307
3.0,255,12.304402
0.0,142,12.383744
2.0,239,12.512435
1.0,219,12.655879
3.0,303,12.8244
2.0,241,12.972846
2.0,231,13.129823
2.0,228,13.251333
3.0,256,13.428211
2.0,244,13.591351
5.0,414,13.837193
0.0,149,13.942434
4.0,316,14.122725
1.0,220,14.239704
1.0,192,14.35599
2.0,221,14.527094
2.0,239,14.651134
1.0,193,14.771716
2.0,230,14.924492
2.0,246,15.056989
2.0,233,15.182986
0.0,166,15.291789
1.0,201,15.424407
1.0,217,15.545707
2.0,249,15.689114
3.0,294,15.845757
2.0,255,16.005121
0.0,172,16.119062
3.0,267,16.302349
1.0,203,16.460845
2.0,235,16.645418
2.0,253,16.791867
2.0,246,16.921289
2.0,225,17.070079
2.0,247,17.227713
1.0,198,17.33304
4.0,292,17.489939
2.0,240,17.652952
1.0,220,17.794774
3.0,289,17.950371
1.0,198,18.060867
